epoch,accuracy,loss,val_accuracy,val_loss
0,0.38001659512519836,1.3208684921264648,0.44092220067977905,1.278435230255127
1,0.6598394513130188,0.9618409276008606,0.6714697480201721,0.9043556451797485
2,0.7874342799186707,0.5719901323318481,0.6974063515663147,0.7948508262634277
3,0.847771942615509,0.41952162981033325,0.7002881765365601,0.7528848052024841
4,0.8826460242271423,0.33024245500564575,0.6974063515663147,0.7946637272834778
5,0.9047882556915283,0.2759876847267151,0.6657060384750366,0.8503943681716919
6,0.924162745475769,0.2292948216199875,0.6743515729904175,0.9031476974487305
7,0.9374480843544006,0.19657035171985626,0.680115282535553,0.9246472716331482
8,0.947965681552887,0.16969963908195496,0.6916426420211792,0.9606852531433105
9,0.9573761224746704,0.14684632420539856,0.6714697480201721,1.0610430240631104
10,0.9626349210739136,0.12812088429927826,0.6685879230499268,1.1090683937072754
11,0.9648491740226746,0.11338824033737183,0.6743515729904175,1.1923482418060303
12,0.9684472680091858,0.10880490392446518,0.6945244669914246,1.207625389099121
13,0.9692776203155518,0.10154424607753754,0.6743515729904175,1.2395297288894653
14,0.9725989699363708,0.09230541437864304,0.6772334575653076,1.3131701946258545
15,0.9723221659660339,0.09461478888988495,0.6657060384750366,1.3106869459152222
16,0.973429262638092,0.08434896171092987,0.6570605039596558,1.3648442029953003
17,0.977027416229248,0.08158978074789047,0.6484149694442749,1.4331986904144287
18,0.9745364189147949,0.0746590867638588,0.6541786789894104,1.456212043762207
19,0.975089967250824,0.07691098749637604,0.6657060384750366,1.4170547723770142
20,0.975643515586853,0.06912150233983994,0.6570605039596558,1.4556188583374023
21,0.9795184135437012,0.06804560124874115,0.6570605039596558,1.5095415115356445
22,0.9784113168716431,0.06116265431046486,0.6455331444740295,1.52385413646698
23,0.9789648652076721,0.0666607990860939,0.6426513195037842,1.5509932041168213
24,0.9781345129013062,0.06407812982797623,0.6541786789894104,1.5658873319625854
