epoch,accuracy,loss,val_accuracy,val_loss
0,0.3678383529186249,1.3237617015838623,0.4438040256500244,1.268083095550537
1,0.6703570485115051,0.9678970575332642,0.651296854019165,0.9305471181869507
2,0.796291172504425,0.5740630626678467,0.7031700015068054,0.7920251488685608
3,0.8502629399299622,0.41229504346847534,0.7089337110519409,0.7820184826850891
4,0.8798782229423523,0.3284135162830353,0.680115282535553,0.7963864803314209
5,0.9067257046699524,0.2663766145706177,0.6829971075057983,0.9070654511451721
6,0.92360919713974,0.22348248958587646,0.6945244669914246,0.9361140727996826
7,0.9393855333328247,0.1843898594379425,0.7060518860816956,0.9710695743560791
8,0.950733482837677,0.16073697805404663,0.6743515729904175,1.0051239728927612
9,0.9604207277297974,0.13713739812374115,0.6916426420211792,1.1131221055984497
10,0.9629117250442505,0.12734092772006989,0.6858789920806885,1.1055786609649658
11,0.9640188217163086,0.1108408272266388,0.6570605039596558,1.1909538507461548
12,0.9701079726219177,0.10236446559429169,0.6743515729904175,1.2206015586853027
13,0.9717686176300049,0.0948379635810852,0.680115282535553,1.2630823850631714
14,0.9717686176300049,0.08774751424789429,0.6657060384750366,1.3055472373962402
15,0.9712150692939758,0.09284127503633499,0.6858789920806885,1.2757357358932495
16,0.9723221659660339,0.08045639097690582,0.6974063515663147,1.3324006795883179
17,0.9748131632804871,0.0774674117565155,0.6858789920806885,1.3767868280410767
18,0.9775809645652771,0.06987246870994568,0.6772334575653076,1.409093976020813
19,0.977027416229248,0.07874251902103424,0.6945244669914246,1.386107087135315
20,0.9773041605949402,0.06661997735500336,0.6829971075057983,1.4668937921524048
21,0.9761970639228821,0.06890200823545456,0.6657060384750366,1.4374678134918213
22,0.9767506122589111,0.06936810165643692,0.6455331444740295,1.4744480848312378
23,0.9789648652076721,0.061352744698524475,0.6858789920806885,1.449515700340271
24,0.9792416095733643,0.062137704342603683,0.6887608170509338,1.4513188600540161
